상품등록일시,품번,상품명,상품이미지,레이블,카테고리,기장,스타일,성별,패턴,시즌,핏,색상,소재,넥라인,가격,상품정보
1625678966.0,11,SHOOPEN NAVY 스니커즈 ,11.png,신발,['캔버스'],[],['고급'],여성,['솔리드'],['여름'],[],"['블랙', '그린', '아이보리', '화이트', '네이비']","['면', '고무']",[],30000,"스탠다드는 합리적인 가격, 어떤 코디에나 어울리는 베이직한 디자인, 글로벌 공장 인프라를 통해 매번 향상되는 기능 등 슈펜이 고객을 위해 만든 기준에 속할 상품만을 엄선한 코어 라인입니다."
1625678966.0,12,COVERNAT 코트 80 화이트,12.png,신발,[],[],['사파리'],여성,['솔리드'],['겨울'],[],"['블랙', '그린', '화이트']","['가죽', '합성가죽', '러버', '합성']",[],53000," -80년대 테니스화의 헤리티지를 담아 재해석한 레트로 무드의 컵솔.
 -무게감있는 컵솔 형태를 파이론 소재의 중창을 사용하여 경량화 시켜 발의 피로도를 최소화 시켰으며, 레트로 무드를 살린 컬러를 적용하여 전체적인 실루엣을 완성시켰습니다.
 -80년대 테니스화의 특징인 화이트 베이스 컬러에 유색 컬러로 포인트를 더하였습니다.
 -부드러우며 고급스러운 텍스쳐를 가진 소재를 사용하여 빈티지 무드를 살려내었으며, 선포(VAMP) 구간에 타공 디테일을 더하여 스포티함을 더하였습니다.
 -사이드 쪽에 C를 형상화한 패턴과 힐쪽 머스태치 부분에 C로고를 배치하여 커버낫의 아이덴티티를 더하였습니다.
 -혀에 커버낫 양각 로고 고무 와펜을 더하여 은은하며 고급스러운 로고 표현을 하였습니다."
1625678966.0,13,COVERNAT 알타,13.png,신발,[],[],['유니크'],남성,['솔리드'],['겨울'],[],"['블랙', '화이트', '그레이']",['TPR'],[],37000,"레이어드된 모던하고 간결한 절개 라인은 피팅 시 발을 단단하게 잡아줘 최상의 편안함을 선사한다.
측면 커버낫의 C를 형상화한 무브먼트 폴더는 부드러우면서 탄탄한 T.P.R 재질로 퍼포먼스를 더했다.
바닥의 충격을 잘 흡수하며 내구성 높은 프리미엄 Vibram Outsole을 사용하였으며 쿠셔닝과 쾌적함에 최적화된 오솔라이트 인솔을 적용해 그레이드를 상향시켰다."
1625678966.0,14,BW 아미,14.png,신발,[],[],['고급'],남성,['솔리드'],['여름'],[],['화이트'],"['가죽', '소가죽']",[],56000,1970년대 독일군은 어퍼를 가죽으로 만들어 내구성을 높이고 접지력이 뛰어난 고무 아웃솔과 신발이 마모되는것을 방지하기 위해 스웨이드를 덧댄 운동화를 신었다. 특히 독일군 스니커즈는 밀리처리 트렌드와 상관없이 깔끔한 디자인 덕분에 패션계에세도 아이콘과 같은 존재로 자리매김했다
1625678966.0,15,ASICS 조그 100 2 - 블랙,15.png,신발,['어글리슈즈'],[],['페미닌'],혼성,['솔리드'],['봄'],[],['블랙'],"['가죽', '인조가죽', '메쉬', '고무', 'EVA']",[],9000,"조그100 2는 슈퍼와이드(4E) 버전으로 발볼이 넓어 편안한 EVA 소재의 기본 런닝 상품입니다.
- 가벼움 : EVA 소재로 되어있어 매우 가볍습니다.
- 통기성 : Ventilation 기능이 적용되어 통기성이 매우 뛰어납니다.
- 내구성 : 내구성이 필요한 부분은 인조 가죽으로 되어있어 내구성이 뛰어납니다.
- 그립력 : 바닥이 고무로 되어있어 그립이 뛰어납니다.
- 뒤틀림 방지 : Trusstic 기능이 있어 뒤틀림 방지
"
1627269171.0,16,디스커버리 조거 플렉스 FLEX ,16.png,신발,['어글리슈즈'],[],['데일리'],남성,['솔리드'],['초겨울'],[],['베이지'],"['가죽', '폴리', '폴리우레탄', '고무', '폴리에스터', '합성가죽', '파이론', '배합고무', '합성']",[],76000,
1625678966.0,17,나이키 데이브레이크 운동화,17.png,신발,[],[],['고급'],여성,['배색'],['겨울'],[],['화이트'],"['가죽', '폴리', '고무', '폴리에스터', '소가죽', '합성고무', '천연가죽(소가죽)', '천연가죽', '합성']",[],51000,고무 와플 밑창으로 접지력과 내구성을 강화하였습니다. 폼 중창으로 가벼운 쿠셔닝과 온종일 편안한 착화감이 특징입니다. 스웨이드와 인조가죽을 덧댄 나일론 갑피로 클래식 스타일을 재현하였습니다.
1643931576.0,18,[Mardi Mercredi] PUR_SNEAKERS_BLACK,18.png,신발,['스니커즈'],[],['하늘하늘'],여성,['배색'],['가을'],[],['화이트'],"['가죽', '메쉬', '합성가죽', '러버', 'EVA', '합성']",[],9000,"클래식 테니스 코트화에서 영감을 얻어 완성한 스니커즈로 측면의 마르디 메르크디 시그니처 로고패치가 포인트 되며, 미니멀한 캐주얼 드레스 룩 어디에도 매치하기 좋은 스니커즈다"
1625678966.0,19,SHOOPEN 슈펜X비슬로우 독일군 스니커즈,19.png,신발,"['캔버스', '스니커즈']",[],['클래식'],여성,['배색'],['겨울'],[],['오카'],"['가죽', '고무', '소가죽', 'LEATHER', 'COW LEATHER']",[],42000,
1627269171.0,20,COVERNAT 구르카 샌들,20.png,신발,['샌들'],[],['하늘하늘'],혼성,['솔리드'],['가을'],[],['블랙'],"['레더', '에코레더']",[],48000,"단정한 느낌의 레더 터치감과 시원함을 더한 발등 전체를 감싸는 커버낫의 URBAN Life style 샌들
구르카병이 신었던 샌들을 모티브로 커버낫 스타일로 재해석한 디자인
등 부분을 웨빙 느낌으로 디자인한 피셔맨 샌들
"
1625678966.0,21,COVERNAT 더블 스트랩 샌들 블랙,21.png,신발,['샌들'],[],['나긋'],여성,['솔리드'],['봄'],[],['블랙'],"['레더', '에코레더']",[],10000,"미니멀한 터치감의 에코레더와 시원함을 더한 3 스트랩으로 발등을 안정감있게 감싸는 디자인의 커버낫 urban life style 샌들
기본 베이직 아이템으로 장시간 착화에도 편안함
강력하고 견고한 동시에 놀라운 편안함을 제공하는 2.0 – 2.2 mm 두께 Salt Hide
여름철 바닷가에서도 끄덕없는 강력표면 마감처리되어 고내구성, 손쉬운 관리
레더 특유의 거친 단면을 2번에 걸쳐 엣지코트 마감하여 부드러운 마무리
갑피에서 아웃솔까지 유연하고 부드러운 착용감
밸런스 플러스폼 풋베드를 사용하여 안정감 있는 충격 흡수 가능
오리지널 클래식 워크슈즈 디자인에서 영감을 받은 아웃솔 디자인
5 Groove Line이 적용된 아웃솔 홈은 단단한 폼에 유연성을 더하여 자연스러운 발걸음에 도움을 줌
세심함이 돋보이는 스몰 웨빙 로고 디테일
탁월한 5cm 힐 높이
"
1625678966.0,22,meduse 우먼즈 샌들 SUN - Noir,22.png,신발,"['샌들', '젤리슈즈']",[],['미니미니'],남성,['솔리드'],['한여름'],[],['블랙'],"['플라스틱', '리사이클 무염소 플라스틱', '리사이클']",[],44000,"프랑스 국민 샌들 브랜드인 메듀즈의 젤리슈즈 SUN 라인입니다.

최초의 플라스틱을 발명한 메듀즈는 60년대부터 프랑스를 대표하는 해변샌들 브랜드입니다.
여름시즌 샌들 트렌드를 이끄는 브랜드로 국내에 알려지기 시작했으며, 맨발 또는 양말과 함께 매치하기 좋은 디자인입니다.

메듀즈는 안정성에 중점을 두어 100%재활용이 가능한 무염소 플라스틱을 소재로 사용하여 엄격한 화학 안전 기준을 준수합니다."
1625678966.0,23,[짐승친구들xFOLDER] 구름 클로그 샌들 ,23.png,신발,"['샌들', '클로그']",[],['데일리'],혼성,['솔리드'],['여름'],[],"['베이지', '블랙', '화이트']",['EVA'],[],25000,
1625678966.0,24,YASE 산토리니 샌들 레더 블랙 552,24.png,신발,['샌들'],[],['여성스러운'],혼성,['솔리드'],['간절기'],[],['블랙'],['Fine leather alpha'],[],66000,야세슈즈가 제작한 100% 핸드메이드 제품으로 슬림하고 미니멀한 쉐입이 매력적인 제품입니다. 또한 동양인 발 형태에 맞는 라스트를 사용하여 착용감이 우수합니다. 야세슈즈의 파인레더는 반광의 가죽 타입으로 자연스럽고 은은하며 고급스럽습니다.
1625678966.0,25,LMC X MERRELL HYDRO MOC ,25.png,신발,['샌들'],[],['소녀스러운'],여성,['배색'],['여름'],[],"['블랙', '올리브']",['EVA'],[],37000,
1627269171.0,26,성인 CROCBAND,26.png,신발,"['샌들', '클로그']",[],['하늘하늘'],혼성,['솔리드'],['간절기'],[],"['블랙', '화이트']","['비닐', '고무', '합성고무', '에틸렌비닐아세테이트', '합성']",[],78000,
1625678966.0,27,DR.MARTENS 테리 블랙 브란도 샌들,27.png,신발,['샌들'],[],['드레시'],혼성,['솔리드'],['늦가을'],[],['블랙'],"['가죽', '소가죽', '천연가죽(소가죽)', '천연가죽']",[],62000,"클래식한 피셔맨 샌들을 캐주얼하게 재해석한 디자인으로 미끄럼방지와 약 5.5CM의 키높이 효과가 있는 Ziggy아웃솔을 사용하였습니다.
천연가죽인 Brando Leater 소재를 사용하여 내구성이 좋습니다.
안정감 있는 버클 스트랩으로 사이즈 조절이 가능한 스트랩 레더 샌들입니다."
1625678966.0,28,UMBRO TOPI (토피),28.png,신발,"['샌들', '클로그']",[],['프레피'],여성,['솔리드'],['초겨울'],[],"['베이지', '블랙', '라벤더', '화이트']",['IP(인젝션파일론)'],[],63000,
1625678966.0,29,DR.MARTENS 나틸라 블랙 샌들,29.png,신발,['샌들'],[],['네추럴'],여성,['솔리드'],['겨울'],[],['블랙'],"['가죽', '소가죽']",[],15000,"닥터마틴의 글레디에이터 레더 샌들 나틸라입니다.
발목을 감싸는 레이스와 미끄럼 방지 및 약 5.5cm 키높이 효과가 있는 Ziggy 아웃솔로 유니크한 스타일링이 가능한 모델입니다.
무광택으로 매끈하게 코팅된 하이드로 레더 소재를 사용하여 고급스러우면서도 매트한 광택감을 줍니다."
1625678966.0,30,KEEN 유니크 샌들 ,30.png,신발,['샌들'],[],['여성스러운'],여성,['솔리드'],['한여름'],[],['블랙'],"['폴리', '고무', '폴리에스터', '합성고무', '합성']",[],45000,"킨의 유니크 샌들은 하이브리드 샌들의 전통을 잇어가는 킨의 베스트셀러입니다. 두개의 끈과 하나의 창으로만 이루어진 독특한 실루엣에 매듭 장식이 돋보입니다. 두 개의 끈을 엮어 완성한 어퍼 구 조는 발 모양에 맞게 자연스럽게 맞춰지며, 중앙부 드로 스트링으로 조절이 가능해 착용자에 따른 최전화된 핏을 구현합니다. 탄력있는 쿠셔닝을 갖춘 미드솔과 내구성이 우수한 소재로 편안한 착화감을 선사합니다. 고무 아웃솔의 뛰어난 견인력으로 미끄럼 방지 기능을 갖춰 레저 활동은 물론이고 도심에서도 유용하게 착용할 수 있습니다."
1625678966.0,31,CHUBASCO S130293 AZTEC,31.png,신발,['샌들'],[],['소녀스러운'],혼성,['솔리드'],['여름'],[],['블랙'],"['가죽', '나일론', 'PU']",[],62000,츄바스코의 대표적인 아즈텍 모델입니다. 현대 소재와 기술을 사용하여 편안함과 쾌적함을 주는 샌들로 발목을 감싸는 듯한 풋밴드와 자신의 발 모양에 맞게 몰드 되는 커버 쿠션으로 장시간 착용에도 피로를 느끼지 않게 합니다. 아웃솔이 잘 마모되지 않아 내구성이 뛰어난 제품으로 신축성이 뛰어나 어디에서나 착용이 가능한 핸드메이드 슈즈입니다.
1625678966.0,32,TONNO22 로너,32.png,신발,['샌들'],[],['여성스러운'],혼성,['솔리드'],['봄'],[],['카키브라운'],"['가죽', '소가죽']",[],64000,"보헤미안의 감성이 느껴지는 트래블샌들 입니다. 통이 넓은 청바지나 슬랙스등과 매칭하기 좋으며, 바닥은 통가죽깔창으로 제작되어 신을수록 에이징되어가는 고급스러움을 확인할수있습니다. 가볍고 소프트하여 실용적인 아이템입니다."
1625678966.0,33,WETHEROAD 에이든 크로스샌들,33.png,신발,['샌들'],[],['고급'],남성,['솔리드'],['한여름'],[],['매트블랙'],"['SYNTHETIC LEATHER', 'SYNTHETIC RUBBER', 'LEATHER']",[],36000,전체적으로 발을 안정감있게 감싸는 크로스 스트랩과 신고 벗기 편한 벨크로를 사용해 가볍게 활용하기 좋아 매력적인 샌들입니다. 부드럽고 유연함으로 편안한 착화감. 그리고 튼튼한 내구성과 내마모성을 제공하는 Smooth Leather 를 소재로 사용하였습니다.
1627269171.0,34,TEVA 맨즈 허리케인 XLT2,34.png,신발,['샌들'],[],['유니크'],남성,['솔리드'],['간절기'],[],"['블랙', '세사미']","['나일론', '폴리', '폴리에스터', '러버', 'EVA', '리사이클 폴리에스터', 'EVA폼', '러버 아웃솔', '리사이클']",[],27000,"테바의 스포츠 샌들을 대표하는 모델입니다. 허리케인 XLT2 는 테바의 헤리티지가 가장 잘 드러나는 프리미엄 라인이며 뒷 발목 부분 쿠션 패드를 첨가하여 편안함이 업그레이드 되었습니다. 뒷굽과 앞굽 사이의 특수 소재가 비포장 바닥에서도 발을 편안하게 지지해줍니다.
-힐(뒤꿈치)부분에 자체개발한 SHOC PAD방식으로 충겹 흡수를 완화했습니다. / 미끄러움 방지 아웃솔 / 가벼운 무게"
1643931576.0,35,MLB 빅볼청키 마스크(BIGBALL CHUNKY MASK) NY ,35.png,신발,"['샌들', '빅볼청키']",[],['프레피'],남성,['솔리드'],['초겨울'],[],"['블랙', '크림']","['가죽', '폴리', '고무', '폴리에스터', '합성가죽', '배합고무', '이브이에이', '합성']",[],9000,
1627269171.0,36,ROMANTIC MOVE  그레이스 피셔맨 샌들 R21M052,36.png,신발,['샌들'],[],['빈티지'],여성,['솔리드'],['사계절'],[],"['블랙', '화이트']","['가죽', '소가죽', '돈피']",[],37000,
1643931576.0,37,DOMBA 올리버 (OLIVER) ,37.png,신발,"['샌들', '돔바']",[],['클래식'],혼성,['솔리드'],['봄'],[],"['블랙', '화이트', '블랙스트라이프']","['EVA', 'NYLON', 'EVA RUBBER']",[],79000,
1625678966.0,38,OOFOS,38.png,신발,"['슬리퍼', '쪼리']",[],['데일리'],남성,['솔리드'],['봄'],[],['블랙'],['OOFOAM'],[],72000," OOFOS 는 1970-1980년 런닝화 붐을 주도했던 미국 신발 업계의 전문가들이 프로젝트 팀을 이루어 만든 브랜드입니다. OOFOS는 운동 후 회복을 할 수 있는 신발을 필요로 하여, 충격을 흡수하고 피로 회복을 도우는 신발을 개발하게 되었습니다. 생체 역학적으로 설계된 밑창과 결합된 혁신적인 OOFOAM 기술을 개발하여 힐링슈즈를 만들었습니다."
1625678966.0,39,ADIDAS  알파바운스 슬라이드,39.png,신발,"['슬리퍼', '슬라이드']",[],['드레시'],여성,['배색'],['봄'],[],['블랙'],"['가죽', '폴리', '폴리에스터', '합성가죽', '합성']",[],33000,격렬한 시합을 마친 후 지친 발에 편안함을 선사하는 남성용 슬라이드입니다. 농구화에서 영감을 받은 조절식 3-스트라이프 갑피와 부드러운 폼 라이닝이 편안한 착용감을 제공합니다. 인체공학적 디자인의 바운스(BOUNCE™) 풋베드가 매 스텝에 에너지 넘치는 쿠셔닝을 전달합니다.
1625678966.0,40,플립플랍 ZEROVITY,40.png,신발,"['슬리퍼', '쪼리']",[],['프레피'],여성,['솔리드'],['가을'],[],"['블랙', '그레이']",['ZEROVITY(TPE)'],[],41000,"토앤토 ZEROVITY™ 플립플랍 바이오는 친환경 바이오베이스TPE(Thermoplastic elastomer) 소재를 사용한 사출 방식으로 제작되어, 일반적인 플립플랍보다 부드러운 촉감과 내구성을 자랑합니다. 가벼운 무게와 충격을 완화해 주는 푹신한 쿠셔닝이 피로에 지친 발의 회복 속도를 단축해 줍니다. 도톰한 스트랩이 돋보이는 일체형 구조로 디자인과 테크닉의 밸런스가 조화로운 제품입니다."
1625678966.0,41,COVERNAT 튜보 슬라이드,41.png,신발,"['슬리퍼', '슬라이드']",[],['여리여리'],남성,['배색'],['봄'],[],"['블랙', '그레이']","['가죽', '폴리', '폴리에스터', '합성가죽', 'EVA', '합성']",[],39000," - 물위에 떠있는 튜브의 편안함에서 영감을 받아 디자인된 리커버리 쿠션 슬라이드입니다.
 - 마이크로 파이버 소재로 연하고 부드러우며 발을 감싸는 부분에 스판 소재를 적용한 메쉬를 배치하였습니다.
 - 남녀의 발모양이 다른걸 착안하여 발볼이 다르게 설계되어있는 밸런스 플러스 폼 풋 베드를 사용하여 편안한 안착감을 느낄 수 있습니다.
 - 에보폼을 사용하여 복원력과 편안한 쿠셔닝을 가지고있으며, 개개인의 발의 곡선에 적응하여 관절의 부담을 최소화 시켜줍니다.P8"
1625678966.0,42,COVERNAT 위켄드 조리 ,42.png,신발,"['슬리퍼', '쪼리']",[],['빈티지'],여성,['배색'],['늦가을'],[],"['블랙', '화이트']","['레더', '에코레더']",[],65000,"미니멀한 터치감의 에코레더로 발등을 안정감 있게 감싸며 시원함을 더한 조리 디자인의 커버낫 Urban life style 샌들
고리부분을 부드럽게 설계하여 완성된 핏감
멋진 여름을 완성할 필수품
"
1625678966.0,43,COVERNAT 크로스 스트랩 슬라이드,43.png,신발,"['슬리퍼', '슬라이드']",[],['소녀스러운'],남성,['솔리드'],['간절기'],[],['블랙'],"['레더', '에코레더']",[],25000,"미니멀한 터치감의 에코레더에 시원함을 더한 X자 스트랩으로 발등을 안정감 있게 감싸는 디자인의 커버낫 Urban life style 슬라이드
안정된 핏감과 포멀한 착장에도 잘 어울리는 데일리 아이템
강력하고 견고한 동시에 놀라운 편안함을 제공하는 2.0 – 2.2 mm 두께 Salt Hide
여름철 바닷가에서도 끄덕없는 강력표면 마감처리되어 고내구성, 손쉬운 관리
레더 특유의 거친 단면을 2번에 걸쳐 엣지코트 마감하여 부드러운 마무리
"
1625678966.0,44,COVERNAT 에센셜 슬라이드 블랙,44.png,신발,"['슬리퍼', '슬라이드']",[],['센슈얼'],혼성,['솔리드'],['여름'],[],['블랙'],"['레더', '에코레더']",[],55000,"미니멀한 터치감의 에코레더로 발등 전체를 감싸는 디자인의 커버낫 Urban life style 샌들
중앙 절개라인 디테일로 안정된 핏감과 유니크한 스타일의 데일리 아이템
사이드의 통풍구는 장시간 착화에도 쾌적함을 더하여 줌
강력하고 견고한 동시에 놀라운 편안함을 제공하는 2.0 – 2.2 mm 두께 Salt Hide Leather 사용
여름철 바닷가에서도 끄덕없는 강력표면 마감처리되어 고내구성, 손쉬운 관리
레더 특유의 거친 단면을 2번에 걸쳐 엣지코트 마감하여 부드러운 마무리
갑피에서 아웃솔까지 유연하고 부드러운 착용감
"
1627269171.0,45,COVERNAT 튜보 조리 ,45.png,신발,"['슬리퍼', '쪼리']",[],['고급'],혼성,['솔리드'],['한여름'],[],"['베이지', '카키', '아이보리', '딥틸', '울트라마린']",['EVO FOAM'],[],61000,"VO FOAM 소재로 지친발에 편안한 유식을 만들어 주고 일체형 조리의 편안함의 새로운 기준이 됩니다.
생성부터 폐기까지 발생하는 CO2 배출량 저감 효과 생분해성 도움으로 친환경적 원료를 사용했으며, 피부 알러지가 있거나 어린이, 노약자등 맨발로 안심하고 신을 수 있는 소재 사용
피부 무자극성 향균 소재(향균99.99%)"
1625678966.0,41,COVERNAT 튜보 슬라이드,41.png,신발,"['슬리퍼', '슬라이드']",[],['여성스러운'],남성,['배색'],['사계절'],[],['블랙'],"['가죽', '폴리', '폴리에스터', '합성가죽', 'EVA', '합성']",[],44000," - 물위에 떠있는 튜브의 편안함에서 영감을 받아 디자인된 리커버리 쿠션 슬라이드입니다.
- 마이크로 파이버 소재로 연하고 부드러우며 발을 감싸는 부분에 스판 소재를 적용한 메쉬를 배치하였습니다.
- 남녀의 발모양이 다른걸 착안하여 발볼이 다르게 설계되어있는 밸런스 플러스 폼 풋 베드를 사용하여 편안한 안착감을 느낄 수 있습니다.
- 에보폼을 사용하여 복원력과 편안한 쿠셔닝을 가지고있으며, 개개인의 발의 곡선에 적응하여 관절의 부담을 최소화 시켜줍니다."
1625678966.0,47,COVERNAT C 로고 슬라이드,47.png,신발,"['슬리퍼', '슬라이드']",[],['센슈얼'],혼성,['배색'],['봄'],[],"['블랙', '그린', '네이비']","['가죽', '폴리', '폴리에스터', '합성가죽', 'EVA', '합성']",[],70000," - 커버낫의 'C' 로고를 싱글 와펜 자수 형태로 다양한 컬러로 풀어낸 기본 슬라이드입니다.
- 마이크로 파이버 소재로 연하고 부드러우며 발을 감싸는 부분에 스판 소재를 적용한 메쉬를 배치하여 편안하며 다향한 룩에 깔끔하게 잘 어울립니다.
- 남녀의 발모양이 다른걸 착안하여 발볼이 다르게 설계되어있는 밸런스 플러스 폼 풋 베드를 사용하여 편안한 안착감을 느낄 수 있습니다.
- 가벼운 무게로 장시간 착용에도 피로도가 적습니다.
- 유해 물질을 적게 배출하는 친환경 고무소재를 적용하였습니다."
1625678966.0,47,COVERNAT C 로고 슬라이드,47.png,신발,"['슬리퍼', '슬라이드']",[],['캐주얼'],남성,['배색'],['늦가을'],[],['블랙'],"['마', '마이크로파이버 ']",[],58000,두터운 패드로 더욱 편해진 커버낫의 슬라이드 디자인. 오리지널 워크 슈즈 디자인에서 영감을 받은 심플한 슬라이드. 디자인으로 언제 어디든지 가볍게 착용 할 수 있습니다.
1627269171.0,49, YASE 샨티 슬라이드,49.png,신발,['슬리퍼'],[],['클래식'],혼성,['솔리드'],['가을'],[],['블랙'],"['나일론', '폴리', '폴리우레탄', '고무', '합성고무', '합성']",[],28000,
1625678966.0,50,[슈펜X비슬로우] 리커버리 플랍슈즈 AFDU79S03,50.png,신발,"['슬리퍼', '쪼리']",[],['밀리터리'],남성,['솔리드'],['사계절'],[],"['베이지', '블랙', '크림', '카키', '네이비']",['EVA'],[],67000,"충격을 흡수하고, 피로 회복을 도와주는 신발"
