고객아이디,품번,구매평,구매일시,좋아요,장바구니
271,132,5,1637528672.0,1,0
160,174,5,1628540807.0,1,1
265,118,4,1627000714.0,1,0
198,498,3,1635887492.0,1,0
42,96,5,1632787178.0,1,1
168,151,5,1635968058.0,0,1
110,307,4,1638667260.0,1,0
58,144,4,1635984936.0,0,1
90,648,4,1643064754.0,0,1
271,346,4,1637524430.0,1,1
62,21,3,1631053460.0,0,1
279,832,3,1633055854.0,0,1
237,514,4,1631056641.0,0,1
94,789,4,1643400887.0,0,0
128,485,3,1631646895.0,1,0
298,317,4,1635862806.0,0,0
44,195,5,1630027874.0,1,1
264,200,5,1637802352.0,1,1
194,385,2,1631204643.0,1,0
72,195,5,1631717702.0,0,1
222,750,5,1635495120.0,0,0
250,264,3,1629769182.0,1,0
41,265,3,1642367042.0,0,0
224,245,3,1639762216.0,1,0
82,135,3,1630449629.0,0,1
262,1147,4,1631471710.0,0,1
293,471,3,1640584884.0,0,1
216,658,3,1631925029.0,1,1
250,140,3,1629772059.0,1,1
59,23,5,1639885300.0,0,0
286,379,5,1629213771.0,0,0
244,815,4,1632285185.0,0,1
7,479,4,1643032010.0,1,0
174,368,1,1638114402.0,1,1
87,274,4,1631556734.0,0,1
194,1211,2,1631231380.0,1,0
82,1134,2,1636394402.0,0,0
13,836,2,1633819746.0,1,0
13,272,4,1636218403.0,0,0
244,756,2,1632285157.0,0,1
305,427,5,1638003090.0,1,0
95,787,2,1640634930.0,1,0
43,14,2,1635635745.0,1,1
299,955,4,1641182823.0,0,0
57,419,3,1635378454.0,0,1
84,405,3,1635132363.0,1,0
269,504,4,1643129922.0,0,0
299,111,3,1629558184.0,1,1
194,466,4,1631205876.0,0,1
160,135,4,1628540807.0,0,0
99,268,3,1637358247.0,1,0
10,486,4,1629566846.0,0,1
259,117,4,1626404988.0,1,1
85,427,3,1631136350.0,1,0
303,919,4,1631147295.0,1,1
213,273,5,1630550987.0,1,0
121,514,3,1643067947.0,1,0
90,98,5,1643063204.0,1,0
49,559,2,1639747405.0,0,0
42,794,3,1632788425.0,1,0
155,323,2,1631051261.0,0,1
68,117,4,1628653939.0,1,0
172,177,4,1627217965.0,0,1
19,4,4,1637092840.0,0,1
268,231,4,1627424136.0,0,0
5,2,3,1627316053.0,1,0
305,117,2,1638004028.0,1,0
44,294,4,1635292356.0,0,0
43,137,4,1627655656.0,0,1
279,1336,1,1626978353.0,0,1
80,466,5,1639081701.0,1,1
254,164,4,1638152768.0,0,0
298,281,3,1635863336.0,0,0
279,1240,1,1643854404.0,1,0
66,298,4,1635281324.0,0,1
18,443,3,1631810193.0,1,0
268,1035,2,1627222174.0,1,0
99,79,4,1637360138.0,1,1
13,98,4,1633195011.0,1,1
26,258,3,1643027949.0,1,0
7,455,4,1643033086.0,0,1
222,755,4,1629863481.0,0,1
200,673,5,1635808554.0,0,1
119,328,4,1628603913.0,1,1
213,172,5,1630635442.0,0,1
276,322,3,1626466392.0,1,0
94,1217,3,1643403086.0,0,0
130,379,4,1627481662.0,0,1
38,328,4,1644108688.0,1,0
160,719,3,1628537977.0,0,0
293,1267,3,1640586966.0,0,1
26,930,2,1643065985.0,0,1
130,216,4,1626896545.0,1,0
92,1079,3,1638123455.0,0,0
256,452,4,1633844999.0,1,1
1,61,4,1630222420.0,0,1
72,48,4,1631716718.0,1,1
56,755,3,1644590207.0,0,1
13,360,4,1633820926.0,0,1
15,405,2,1631135957.0,1,1
92,77,3,1627334637.0,0,1
207,476,2,1636066343.0,0,1
292,174,5,1632785481.0,0,1
232,483,5,1640229622.0,0,1
251,748,2,1637952175.0,1,0
224,26,3,1639784153.0,1,1
181,220,4,1630642392.0,0,0
259,255,4,1626404710.0,0,0
305,471,4,1638003648.0,0,1
52,280,3,1634602806.0,0,1
161,202,5,1642850769.0,0,0
148,408,5,1629079018.0,1,1
125,235,2,1644518559.0,1,0
97,228,5,1635918860.0,1,1
58,1098,4,1635984936.0,0,1
83,234,4,1639345548.0,1,0
90,347,4,1643063319.0,0,1
272,178,5,1631135113.0,1,0
194,181,3,1631201396.0,1,1
125,478,4,1631134628.0,0,0
110,688,1,1638667605.0,1,1
299,14,4,1629557775.0,1,1
151,10,5,1631204921.0,1,0
269,127,4,1643126165.0,0,1
6,14,5,1635279249.0,1,0
54,106,3,1632617882.0,1,0
303,69,5,1631147542.0,1,0
16,944,1,1629407122.0,0,0
301,790,4,1633758621.0,0,1
276,1091,3,1626473035.0,1,0
305,214,2,1638003068.0,1,0
194,1028,2,1631221148.0,0,0
91,323,2,1643118397.0,1,1
87,554,4,1631555940.0,1,1
294,109,4,1629499599.0,0,0
286,171,4,1629211791.0,1,1
200,318,5,1635808458.0,0,1
229,328,1,1643312142.0,1,0
178,568,4,1634506555.0,1,1
303,842,2,1631164804.0,0,1
62,65,4,1631054686.0,1,1
207,591,3,1627698608.0,0,1
92,172,4,1627333271.0,1,0
301,401,4,1633758040.0,0,0
36,339,5,1633837581.0,1,0
70,746,3,1635830257.0,1,0
63,242,3,1627427190.0,0,0
28,201,3,1633641671.0,1,1
279,68,4,1626987407.0,0,1
250,7,4,1629769716.0,1,0
14,98,3,1642561335.0,1,0
299,1018,3,1641182324.0,1,0
194,54,3,1631205876.0,1,0
303,815,3,1631165532.0,1,0
119,237,5,1626455038.0,1,1
295,218,5,1631646498.0,0,0
268,930,2,1627422942.0,1,0
268,2,2,1627424173.0,0,0
66,258,4,1635281089.0,1,0
233,202,5,1631074264.0,1,0
83,623,4,1631988578.0,0,1
214,334,3,1643222540.0,0,1
192,476,2,1633048243.0,0,0
100,344,4,1643054868.0,0,0
268,145,1,1627424501.0,1,0
301,56,4,1633756587.0,1,1
307,89,5,1630963786.0,1,1
234,141,3,1644014609.0,0,0
83,576,4,1631988755.0,1,0
181,264,2,1630641624.0,1,1
297,133,4,1626920090.0,1,1
38,153,5,1644110369.0,0,0
7,382,4,1643032093.0,1,1
264,813,4,1637802952.0,1,0
181,872,1,1630641814.0,0,0
201,146,1,1635820579.0,1,0
85,507,4,1631136199.0,0,0
269,367,3,1643130023.0,0,0
59,468,3,1639885855.0,1,1
286,143,4,1641331549.0,0,0
193,96,1,1640804507.0,0,1
113,595,5,1627616424.0,1,0
292,11,5,1632784093.0,1,0
130,1014,3,1627930718.0,1,0
275,98,4,1626835140.0,1,0
189,520,5,1644945380.0,0,0
219,82,1,1641132455.0,0,0
218,209,5,1629168546.0,0,1
123,427,3,1631553020.0,1,1
119,222,5,1626455311.0,1,1
158,177,4,1631814407.0,0,1
222,118,4,1629243802.0,0,0
302,322,2,1631116875.0,0,1
279,501,3,1626988843.0,1,1
301,79,5,1633756403.0,1,1
181,3,2,1630643441.0,1,1
201,695,1,1635820115.0,1,1
13,198,3,1633195193.0,1,1
1,189,3,1640412928.0,0,1
145,237,5,1626950570.0,0,0
23,385,4,1626466462.0,0,0
201,767,4,1635794505.0,1,0
296,705,5,1635877193.0,0,1
42,546,3,1632785817.0,0,0
33,872,3,1643644230.0,0,0
301,554,3,1633758830.0,0,1
16,64,5,1629400297.0,1,0
95,135,3,1630877562.0,1,1
154,357,4,1630818713.0,1,1
77,484,5,1636413766.0,0,1
296,508,5,1635876584.0,1,0
302,303,2,1631116785.0,1,1
244,673,3,1632286667.0,0,0
222,77,4,1629863616.0,0,0
13,215,5,1633820588.0,1,1
16,705,5,1629402736.0,0,0
270,452,4,1628636264.0,1,1
145,15,2,1626950655.0,1,0
187,64,5,1631145631.0,0,1
200,304,5,1627721644.0,1,0
170,749,5,1639326170.0,1,0
101,829,3,1628816138.0,0,0
184,218,3,1641589840.0,0,1
128,204,4,1631647478.0,1,0
181,1295,1,1630641781.0,1,1
184,153,3,1641591285.0,0,0
1,33,4,1630222699.0,1,1
1,160,4,1626752547.0,0,0
184,321,5,1641586967.0,0,1
54,595,3,1632617813.0,1,1
94,343,4,1643405009.0,1,0
128,508,4,1631647767.0,0,1
23,323,2,1626464266.0,1,1
301,227,3,1633757222.0,1,1
301,191,3,1633755672.0,1,1
112,903,1,1644120172.0,1,0
82,183,3,1630449848.0,0,1
222,724,3,1629861976.0,1,0
218,430,3,1629168316.0,1,1
308,1197,4,1639419521.0,1,0
303,134,5,1631147959.0,1,0
133,751,3,1642268547.0,0,1
215,212,2,1643115680.0,0,0
69,256,5,1633806156.0,1,0
254,662,4,1639027350.0,1,1
276,2,4,1626472436.0,1,1
104,984,1,1640122575.0,1,1
63,1067,3,1627427514.0,1,1
267,410,4,1630650785.0,0,0
13,56,5,1633195011.0,0,1
240,879,3,1637455745.0,1,1
286,237,2,1627486800.0,0,0
294,271,5,1640921426.0,0,1
90,1086,4,1643064424.0,0,0
18,26,4,1631809731.0,0,1
92,229,3,1627336201.0,0,1
308,649,4,1639419292.0,1,1
144,89,3,1639785691.0,0,0
191,302,4,1643240253.0,1,0
59,951,3,1639886409.0,1,0
200,96,5,1635809409.0,0,0
16,197,5,1629406146.0,1,0
61,678,3,1643982309.0,0,1
271,199,4,1637528448.0,1,0
271,709,3,1637529325.0,1,1
142,169,5,1640320356.0,1,0
275,597,3,1627877678.0,1,0
222,151,3,1629862109.0,1,0
87,40,3,1631556917.0,1,1
207,258,4,1629559172.0,1,1
272,1393,2,1631134663.0,1,1
177,333,4,1631810397.0,0,1
207,1115,2,1631344906.0,0,0
299,577,3,1641183806.0,0,1
271,378,4,1637529447.0,0,0
305,425,4,1638004486.0,1,0
49,959,2,1639748912.0,1,1
94,1224,3,1643402802.0,0,1
130,1017,3,1626633895.0,0,1
10,175,3,1629568677.0,1,0
203,321,3,1632113418.0,1,1
191,286,4,1643240842.0,1,1
43,323,3,1627655110.0,0,1
21,558,5,1626631695.0,0,0
197,96,5,1643089839.0,1,1
13,344,2,1639753635.0,1,0
194,66,3,1631207264.0,1,0
234,206,4,1644014543.0,1,1
308,402,4,1639420700.0,1,0
308,640,4,1639417036.0,0,0
269,522,5,1643127773.0,1,1
94,265,4,1643401889.0,0,0
268,62,3,1626990824.0,0,1
272,12,5,1631135254.0,0,0
121,291,3,1643070477.0,1,1
296,20,5,1635876921.0,1,0
134,286,3,1643412334.0,0,1
180,462,5,1629224218.0,1,1
234,612,3,1643759140.0,0,1
104,117,2,1640145972.0,1,1
38,758,1,1644114626.0,1,0
269,845,1,1643136255.0,0,1
7,163,4,1643033444.0,1,1
234,1451,3,1643758343.0,1,0
275,405,2,1627877645.0,1,1
52,250,3,1634602661.0,1,0
102,823,3,1640481465.0,0,0
13,186,4,1642384999.0,1,0
178,731,4,1634507532.0,1,1
236,71,3,1641796671.0,1,1
256,781,5,1633845296.0,1,1
263,176,5,1642979752.0,0,1
244,186,3,1632285697.0,0,0
279,1181,4,1626994001.0,1,0
43,815,4,1635636189.0,1,1
83,78,2,1631989089.0,0,1
151,197,5,1631208710.0,1,1
254,436,2,1638154216.0,0,1
109,631,3,1632259371.0,1,0
297,716,3,1626919422.0,1,0
249,188,4,1631321067.0,1,1
144,699,4,1639786106.0,1,1
301,604,4,1633755994.0,1,0
64,392,3,1641417542.0,1,1
92,501,2,1627333665.0,0,0
222,97,4,1629861739.0,1,0
268,436,3,1626990745.0,0,0
293,135,5,1640585550.0,0,0
213,173,5,1630635442.0,0,0
160,460,2,1628541185.0,0,1
13,498,4,1633819901.0,1,0
59,715,5,1639885921.0,0,0
5,17,4,1627316198.0,1,0
125,163,5,1631134956.0,0,0
174,315,5,1638112749.0,0,1
114,505,3,1632940203.0,0,0
213,515,4,1630550518.0,1,1
23,196,2,1626466926.0,1,1
128,15,4,1631648827.0,1,1
239,56,4,1640859478.0,1,1
181,279,1,1630642955.0,1,0
291,80,4,1626766354.0,1,1
250,238,4,1629769963.0,0,1
201,649,3,1635794275.0,0,1
60,60,5,1635007734.0,0,0
181,325,2,1630641814.0,0,0
119,407,3,1638718665.0,1,1
287,1,5,1627014088.0,0,1
216,228,3,1631925642.0,0,0
216,531,4,1631913810.0,1,0
203,471,4,1632114463.0,1,0
92,587,3,1627340408.0,0,0
13,892,3,1634454224.0,1,1
213,176,4,1630636338.0,0,0
286,288,5,1627486672.0,0,0
117,1047,2,1632689697.0,0,1
99,111,1,1637358886.0,0,0
11,558,3,1643584214.0,0,0
65,47,2,1630896672.0,0,0
295,194,4,1631197412.0,0,0
269,217,2,1643131610.0,0,1
85,259,2,1633385026.0,1,0
250,596,5,1629769921.0,1,0
137,144,5,1633113689.0,0,1
201,960,2,1635792077.0,1,0
257,137,4,1633729932.0,1,0
111,328,4,1643359939.0,1,1
91,480,4,1643118875.0,0,0
215,211,4,1643116202.0,0,0
181,938,1,1630641586.0,1,1
189,1060,5,1644944301.0,1,0
1,20,4,1639111883.0,0,1
303,404,4,1631148375.0,1,1
299,305,3,1631417314.0,0,1
187,210,4,1631145242.0,1,1
222,278,2,1629243913.0,0,0
214,568,4,1644348197.0,0,1
293,770,3,1640586655.0,0,0
285,191,4,1642275859.0,1,0
303,252,3,1631224791.0,0,0
96,156,4,1636082860.0,0,0
72,1110,3,1631717334.0,1,1
115,1067,4,1632851009.0,0,1
7,430,3,1643032178.0,0,1
116,350,3,1638657926.0,0,1
73,480,4,1640305753.0,1,1
269,246,5,1643137067.0,1,0
263,419,5,1642979514.0,1,1
70,431,3,1635830257.0,1,1
221,475,4,1626924204.0,1,1
72,182,5,1631716515.0,1,1
25,357,4,1637532757.0,0,1
290,50,5,1632153582.0,0,0
189,526,4,1644946205.0,0,1
299,303,3,1629298584.0,1,0
264,294,3,1637801516.0,1,0
200,365,5,1635809962.0,1,1
187,135,4,1631145653.0,1,0
184,187,4,1641589024.0,1,0
63,289,2,1627426985.0,1,0
13,229,4,1634077650.0,1,0
298,486,3,1635863063.0,1,0
235,185,4,1641335435.0,0,0
62,712,4,1631056178.0,1,1
246,94,2,1636603505.0,0,0
54,742,5,1632614806.0,1,0
63,762,3,1627427688.0,1,1
11,732,3,1643584596.0,1,1
92,168,4,1627333723.0,1,1
8,550,3,1631042356.0,0,0
307,174,4,1630963480.0,1,1
303,200,4,1631148459.0,1,0
256,849,2,1633844603.0,1,0
72,54,3,1631716854.0,1,0
164,406,2,1641082389.0,1,0
117,150,4,1631805101.0,1,1
224,77,4,1639783872.0,1,1
193,869,3,1640807811.0,0,1
94,184,2,1643400862.0,1,0
281,338,2,1632880457.0,1,0
130,109,3,1626633794.0,0,1
128,371,1,1631646954.0,0,0
94,720,1,1643403593.0,0,0
182,845,3,1637293067.0,0,0
129,873,1,1634925452.0,0,0
254,229,4,1638154580.0,0,1
64,381,4,1631045491.0,1,1
151,176,2,1631204293.0,0,1
45,25,4,1632694015.0,0,0
193,879,3,1640803257.0,1,0
276,922,4,1640854849.0,1,0
276,57,3,1626467526.0,1,1
234,187,4,1643759140.0,0,1
181,306,1,1630642006.0,0,1
21,370,1,1626631293.0,1,1
293,249,3,1640585229.0,1,1
264,721,5,1637803656.0,1,1
10,611,5,1629566722.0,1,0
197,346,3,1643089070.0,1,0
276,142,3,1626472945.0,1,1
308,427,4,1639416584.0,1,0
221,943,4,1626926759.0,1,1
131,126,4,1635361514.0,0,0
268,824,2,1628198557.0,0,0
109,8,3,1632252642.0,0,0
198,58,3,1635888173.0,0,1
230,680,4,1632164286.0,1,1
181,741,1,1630642918.0,0,0
192,1061,4,1633048891.0,0,0
234,448,3,1644015501.0,1,0
90,900,4,1643062309.0,1,1
193,941,4,1640804890.0,0,0
128,603,5,1631646839.0,0,1
126,905,2,1639535283.0,1,1
244,265,4,1632286634.0,0,1
90,289,3,1643062310.0,0,1
157,25,3,1638570787.0,0,1
305,71,3,1638003684.0,0,0
119,382,5,1626461742.0,1,1
21,222,2,1626631382.0,0,0
231,181,4,1640285273.0,0,1
280,508,3,1643380453.0,0,0
288,132,3,1638054129.0,1,1
279,1497,2,1642460576.0,0,0
301,33,4,1633758228.0,0,0
72,699,3,1631716783.0,1,1
90,259,2,1643062392.0,0,0
308,55,3,1639418760.0,1,1
59,742,3,1639883053.0,1,1
94,744,4,1643401462.0,1,1
130,642,4,1626896933.0,0,0
26,1015,3,1643032136.0,0,0
56,121,5,1644359480.0,0,1
82,508,2,1636394249.0,0,0
62,12,4,1631053613.0,0,0
276,40,3,1626471871.0,1,1
181,1015,1,1630643121.0,1,0
152,301,3,1631827407.0,1,0
178,845,4,1634504291.0,1,0
217,597,4,1640750087.0,1,0
79,303,4,1642951203.0,1,1
138,484,4,1630704127.0,0,1
308,81,5,1639417293.0,0,1
75,284,2,1635730393.0,1,1
269,198,4,1643127062.0,1,0
307,94,3,1628802695.0,1,1
222,781,3,1632739677.0,1,0
121,740,3,1643070544.0,0,0
269,22,1,1643128072.0,1,1
13,864,4,1633821924.0,0,0
230,742,5,1632165043.0,1,0
269,507,4,1643128800.0,0,1
239,1099,5,1640859253.0,0,0
245,1028,5,1640193447.0,1,0
56,546,3,1644359460.0,1,1
295,961,5,1631199556.0,0,1
271,1028,2,1637528102.0,0,1
222,812,2,1632739117.0,1,1
69,240,3,1633806156.0,0,0
10,7,4,1629572210.0,0,1
22,376,3,1630567112.0,1,0
294,931,3,1640922857.0,1,0
82,717,1,1636394492.0,1,0
279,399,4,1626993859.0,1,1
269,234,1,1643129406.0,1,1
6,98,5,1635280680.0,1,1
243,1039,4,1631668184.0,0,1
298,181,4,1635805629.0,1,1
282,325,1,1633383044.0,0,0
78,323,1,1631313567.0,0,0
118,200,5,1627064647.0,0,0
283,1114,5,1630977545.0,1,0
171,292,4,1642714835.0,0,0
70,217,4,1635831119.0,0,1
10,100,5,1629571747.0,1,1
245,181,4,1640193664.0,0,1
107,333,3,1642944267.0,1,0
246,561,1,1636603445.0,0,1
13,901,1,1635350672.0,0,0
276,70,4,1626470826.0,1,1
244,17,2,1632287205.0,0,0
189,56,5,1644945263.0,1,1
226,242,5,1635568671.0,1,1
62,1016,4,1631053008.0,1,1
276,417,4,1626472907.0,1,1
214,478,4,1643224052.0,0,1
306,235,4,1628184354.0,0,0
222,26,3,1629863043.0,1,1
280,631,5,1643380751.0,1,1
60,430,5,1635006122.0,1,1
56,71,4,1644363275.0,1,1
42,274,5,1632785817.0,0,0
1,202,5,1626752442.0,0,0
13,809,4,1634077582.0,1,1
173,289,4,1629236988.0,0,0
15,749,1,1631135311.0,0,1
185,23,4,1635204249.0,0,1
280,540,3,1643382304.0,1,1
244,381,4,1632284077.0,1,1
150,293,4,1630426946.0,1,1
7,497,4,1643032134.0,1,0
178,317,4,1634506915.0,1,1
178,742,3,1634503833.0,0,1
95,1217,3,1632252658.0,0,0
234,1462,3,1644013865.0,1,0
97,222,5,1635918887.0,0,0
109,127,2,1632243471.0,0,0
117,268,5,1631804306.0,0,1
269,705,2,1643128850.0,1,0
130,1246,3,1627932497.0,1,0
264,655,4,1637803530.0,1,1
207,13,3,1627186839.0,0,0
42,588,5,1632788147.0,0,1
246,409,2,1636603372.0,0,1
87,367,4,1631556702.0,0,0
101,304,3,1628815677.0,0,0
256,127,4,1633844406.0,0,0
92,794,3,1627334798.0,1,1
181,762,2,1630643418.0,0,1
213,235,1,1630635115.0,0,1
92,739,2,1627855582.0,0,0
292,661,5,1632785561.0,0,1
246,665,4,1636602831.0,0,0
274,845,5,1630625579.0,0,0
188,692,5,1626752583.0,0,0
18,86,4,1631809731.0,1,1
5,439,1,1630524423.0,1,1
236,632,3,1641796254.0,1,0
193,407,4,1640807921.0,0,1
144,709,4,1639785940.0,0,1
90,1198,5,1643063866.0,1,1
48,609,4,1631114819.0,0,1
5,225,2,1627315723.0,0,0
22,128,5,1630567983.0,0,1
311,432,4,1636045485.0,0,1
8,22,5,1631042183.0,0,0
276,188,4,1626472547.0,0,1
222,173,5,1629863043.0,1,0
72,866,4,1631715887.0,1,1
299,134,4,1629872311.0,1,0
1,171,5,1641431711.0,1,1
308,295,3,1639421461.0,0,1
165,216,4,1631205778.0,1,0
222,49,3,1629863512.0,0,1
181,121,4,1630642623.0,1,1
200,11,5,1635809542.0,1,1
234,626,4,1644016358.0,1,0
244,707,4,1632286243.0,0,0
90,25,5,1643064789.0,0,0
208,216,5,1634788324.0,0,0
263,96,4,1642978336.0,1,0
134,323,4,1643412335.0,1,1
279,586,4,1644544663.0,1,0
2,292,4,1640230774.0,1,1
288,593,2,1638572127.0,0,0
49,302,4,1639745432.0,0,0
286,153,5,1629211406.0,0,1
205,304,3,1639964313.0,0,0
22,80,4,1630567227.0,0,0
234,318,4,1643758890.0,1,0
223,328,3,1643228959.0,0,1
15,25,3,1631136204.0,1,1
268,147,4,1628194002.0,1,1
94,1220,3,1643402678.0,0,0
274,405,4,1630625840.0,1,1
7,492,5,1643032010.0,0,0
268,217,2,1627424501.0,1,1
16,55,5,1629397956.0,1,1
164,620,3,1641082298.0,1,0
290,161,4,1632154293.0,1,0
92,515,4,1627320800.0,0,0
239,1070,5,1640859032.0,0,0
56,449,5,1644359308.0,0,0
248,234,4,1636214968.0,1,1
234,10,3,1642907851.0,0,0
280,1049,2,1643382486.0,0,0
308,187,5,1639418760.0,0,0
276,64,5,1626467441.0,1,0
192,948,3,1633048302.0,1,0
122,509,4,1630950511.0,0,1
85,588,3,1632518306.0,1,1
262,931,2,1631470874.0,0,0
201,272,3,1637693700.0,0,0
181,870,2,1630642623.0,0,0
295,739,4,1631198319.0,1,1
263,568,4,1642979387.0,0,0
295,39,4,1631198279.0,1,0
201,1100,4,1635792800.0,0,0
93,820,3,1640385966.0,0,0
159,1028,5,1632237539.0,0,1
158,665,2,1631814532.0,1,1
293,423,3,1640586070.0,0,1
82,597,3,1630448882.0,1,0
276,181,5,1626466488.0,0,0
13,823,5,1634077833.0,0,1
217,2,3,1640749782.0,0,0
83,660,4,1631988256.0,0,0
189,20,5,1644944466.0,0,1
222,796,4,1629863684.0,0,0
146,1022,5,1643138193.0,0,0
267,121,3,1630650681.0,0,0
126,294,3,1639535087.0,1,1
181,1060,1,1630642675.0,0,1
125,80,4,1644518865.0,1,1
43,120,4,1635709430.0,1,1
13,780,1,1633822057.0,1,0
253,259,2,1643308883.0,0,1
42,44,3,1632788548.0,1,0
77,518,4,1636433202.0,0,1
291,686,5,1626515165.0,0,1
268,21,3,1627422822.0,1,1
262,28,3,1631472220.0,1,1
234,81,3,1644014680.0,0,1
29,245,3,1634500803.0,0,1
236,57,5,1641796575.0,0,1
158,729,3,1631813116.0,1,0
156,661,4,1639865947.0,1,1
232,52,5,1640230130.0,0,0
168,866,5,1635967927.0,1,0
37,288,4,1632595258.0,1,1
141,245,3,1636264426.0,1,1
235,230,4,1641335162.0,0,1
102,70,3,1640483537.0,0,0
77,172,3,1636432562.0,0,1
90,506,5,1643063319.0,1,1
186,566,5,1630703663.0,1,1
44,660,5,1630027915.0,0,1
118,774,5,1627065198.0,1,1
7,661,5,1643031624.0,1,1
49,1003,2,1639748651.0,0,1
62,68,1,1631054969.0,0,1
42,1028,4,1632786072.0,0,0
178,433,4,1634507834.0,0,0
85,51,2,1631134782.0,0,0
77,474,5,1636412407.0,1,1
58,1099,2,1643923079.0,1,0
56,1047,4,1644591290.0,0,0
197,688,1,1643089564.0,0,0
286,99,4,1629821681.0,0,1
90,258,3,1643062121.0,1,0
181,1288,1,1630642349.0,0,0
295,190,4,1631197062.0,0,1
224,69,4,1639762495.0,0,1
272,317,4,1631134977.0,0,0
221,1010,3,1626926662.0,0,1
66,877,1,1635281089.0,0,0
207,318,5,1628804871.0,0,0
234,487,3,1643759237.0,1,0
7,648,5,1643031653.0,1,1
87,82,5,1631555774.0,1,1
195,1052,1,1629515102.0,0,1
44,449,5,1635293334.0,1,0
306,287,4,1628184442.0,0,1
194,172,3,1631201474.0,1,0
94,62,3,1643402933.0,1,0
167,659,4,1644418277.0,0,1
108,100,4,1631559720.0,0,0
230,304,5,1632164286.0,1,1
181,927,1,1630642675.0,1,1
54,302,4,1632608519.0,0,1
90,22,4,1643064357.0,0,0
181,696,2,1630642997.0,0,0
286,357,4,1629211537.0,1,0
14,269,4,1643922403.0,1,0
311,179,2,1636045357.0,0,1
92,121,5,1627320679.0,0,1
21,440,1,1626631798.0,1,1
244,550,1,1632282264.0,1,1
181,405,4,1630642919.0,1,1
